ARTICULO;DESCRIPCION;PROVEEDOR;NOMBRE;STOCK;IMPORTE
BP4;YOGURT PASC. 125g PK4 PLATANO;BP4;MERCASH SAR, S. L.;3;0,85
BP4;YOGURT PASC. 125g PK4 PLATANO;BP4;QUALIANZA SER. INT. DIST. S.L.U.;282;1,19
BP4;YOGURT PASC. 125g PK4 PLATANO;BP4;DISMAVI, S. L.;12;0,9
BP5;GRILLETE INOX LIRA PUNZON 8mm;BP5;TRIDENTE, S. L.;4;1,44
BP6;TENSOR INOX C/GANCHO 8MM;BP6;TRIDENTE, S. L.;2;3,92
BP7;PASTA SOPA LETRAS GALLO 250grs;BP7;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;131;0,41
BP8;PASTA ESTRELLAS GALLO 1/500grs;BP8;MERCASH SAR, S. L.;82;0,69
BP8;PASTA ESTRELLAS GALLO 1/500grs;BP8;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;46;0,77
BQ1;GUARDACABOS LUMINOSO 1,8-2,1mm;BQ1;E.N. LATITUD S.L.;1;30,87
BQ1;GUARDACABOS LUMINOSO 1,8-2,1mm;BQ1;PASAXE Suministros Navales, S. L.;2;25
BQ2;BOYA A-5 POLYF.LISA ROJA/NARAN;BQ2;EURORED VIGO, S. L.;9;90,34
BQ3;GIRATORIO INOX HORQUILLA 8mm;BQ3;EURORED VIGO, S. L.;2;3,78
BQ4;PEGAMENTO LOCTITE 20G;BQ4;FERRETERIA PLAZA, S. L.;5;9,59
