ARTICULO;DESCRIPCION;PROVEEDOR;NOMBRE;STOCK;IMPORTE
B78;CONO HELADO SABORES C/24;B78;BECOGALIA AFINES S.L.(LOPEZ FREIRE);50;8,92
B78;CONO HELADO SABORES C/24;B78;MERCASH SAR, S. L.;48;1,84
B78;CONO HELADO SABORES C/24;B78;CARREFOUR VIGO;1;4,27
B78;CONO HELADO SABORES C/24;B78;ENTREPOT NAVAL, S. L.;200;7,44
B81;GALLO "G" CONGELADO 500/1000;B81;PEREIRA Y CAO DISTRIBUCION, S.L.;4;3,9
B84;CHULETAS CERDO FRESCAS;B84;CHOLO CARNICAS, S. L.;19;3,33
B84;CHULETAS CERDO FRESCAS;B84;VENDISFRIG, S.L.;9;3,2
B84;CHULETAS CERDO FRESCAS;B84;V.R.FABRICA DE EMBUTIDOS S.L.;93;3,53
B84;CHULETAS CERDO FRESCAS;B84;MARI CARMEN GIL REPRESAS;1;4,21
B85;AGUJA CERDO-CARNE PARA GUISAR;B85;CHOLO CARNICAS, S. L.;34;2,99
B85;AGUJA CERDO-CARNE PARA GUISAR;B85;VENDISFRIG, S.L.;25;3,65
B85;AGUJA CERDO-CARNE PARA GUISAR;B85;V.R.FABRICA DE EMBUTIDOS S.L.;8;3,33
B86;CONEJOS EVISCERADOS;B86;CHOLO CARNICAS, S. L.;9;3,99
B86;CONEJOS EVISCERADOS;B86;LAGO, AVES, HUEVOS Y CAZA, S. A.;31;4,11
B86;CONEJOS EVISCERADOS;B86;COGAL- CONEJOS GALLEGOS S.L.U.;39;3,6
B86;CONEJOS EVISCERADOS;B86;VENDISFRIG, S.L.;1;4,95
B87;AZUCAR VAINILLADO 1.1KG;B87;MERCASH SAR, S. L.;10;1,39
B87;AZUCAR VAINILLADO 1.1KG;B87;DISTRIBUCIONES LORRI C.B.;14;5,37
B87;AZUCAR VAINILLADO 1.1KG;B87;PRODUCTOS JAUJA,S.A.;2;3,26
B88;FRASCO DE COLONIA LOU-LOU;B88;NEOBEL PERFUMISTAS DE GALICIA, SL;11;66,09
B91;PASTEL ROYAL QUESO FRESA 1/325;B91;MERCASH SAR, S. L.;66;2,22
B91;PASTEL ROYAL QUESO FRESA 1/325;B91;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;46;2,23
B91;PASTEL ROYAL QUESO FRESA 1/325;B91;MONDELEZ ESPA¥A COMERCIAL SL;61;1,85
B92;AROMA ANIS 1/LT;B92;ALCAMPO, S.A.;3;1,6
B92;AROMA ANIS 1/LT;B92;PONTEVICUS, S. L.;23;0,28
B93;GALLETAS TOSTADA 14/4x200grs;B93;PONTEVICUS, S. L.;1;18,2
B97;BOYA A-2 LISA NARANJA;B97;A POUTADA, S. L.;28;21,54
B98;TORTAS;B98;CASH GALICIA, S. L.;6;9,59
B98;TORTAS;B98;MERCASH SAR, S. L.;11;7
ba2;COCA-COLA BOTELLA 1/500cc;ba2;CUEVAS CASH-IGNACIO DELAS CUEVAS SA;560;0,75
